Junction,RMSE_GRU,RMSE_Fuzzy,R2_GRU,R2_Fuzzy,Hidden_Size,Num_Layers,Learning_Rate
1,13.701719345359267,13.223085014023617,0.6948770740275364,0.7158221098725139,56,1,0.006758098061569213
2,5.7992296578338705,5.948664050539478,0.5492970845151365,0.5257704219640967,112,1,0.007533623571135825
3,7.3164982345964455,7.2985564402996435,0.5492051287904887,0.5514133304891086,65,1,0.007779854734052338
4,3.368604654471534,3.339837317243204,0.41389528280167853,0.4238630172620289,110,2,0.0012147352387797325
